District,Name,Party Code,State,Term End,Term Start,Session
1,Sonny Callahan,R,Alabama,,,101
2,Bill Dickinson,R,Alabama,,,101
2,Glen Browder,D,Alabama,,1989-04-04 00:00:00,101
4,Tom Bevill,D,Alabama,,,101
5,Ronnie G. Flippo,D,Alabama,,,101
6,Ben Erdreich,D,Alabama,,,101
7,Claude Harris,D,Alabama,,,101
At-large,Don Young,R,Alaska,,,101
1,John J. Rhodes III,R,Arizona,,,101
2,Mo Udall,D,Arizona,,,101
3,Bob Stump,R,Arizona,,,101
4,Jon Kyl,R,Arizona,,,101
5,Jim Kolbe,R,Arizona,,,101
1,Bill Alexander,D,Arkansas,,,101
2,Tommy F. Robinson,D then R,Arkansas,,,101
3,John Paul Hammerschmidt,R,Arkansas,,,101
4,"Beryl Anthony, Jr.",D,Arkansas,,,101
1,Douglas H. Bosco,D,California,,,101
2,Wally Herger,R,California,,,101
3,Robert T. Matsui,D,California,,,101
4,Vic Fazio,D,California,,,101
5,Nancy Pelosi,D,California,,,101
6,Barbara Boxer,D,California,,,101
7,George Miller,D,California,,,101
8,Ronald V. Dellums,D,California,,,101
9,Pete Stark,D,California,,,101
10,Don Edwards,D,California,,,101
11,Tom Lantos,D,California,,,101
12,Tom Campbell,R,California,,,101
13,Norman Y. Mineta,D,California,,,101
14,Norman D. Shumway,R,California,,,101
15,Tony Coelho,D,California,1989-06-15 00:00:00,,101
15,Gary Condit,D,California,,1989-09-12 00:00:00,101
16,Leon Panetta,D,California,,,101
17,Chip Pashayan,R,California,,,101
18,Richard H. Lehman,D,California,,,101
19,Robert J. Lagomarsino,R,California,,,101
20,Bill Thomas,R,California,,,101
21,Elton Gallegly,R,California,,,101
22,Carlos J. Moorhead,R,California,,,101
23,Anthony C. Beilenson,D,California,,,101
24,Henry A. Waxman,D,California,,,101
25,Edward R. Roybal,D,California,,,101
26,Howard L. Berman,D,California,,,101
27,Mel Levine,D,California,,,101
28,Julian C. Dixon,D,California,,,101
29,Augustus F. Hawkins,D,California,,,101
30,Matthew G. Martinez,D,California,,,101
31,Mervyn M. Dymally,D,California,,,101
32,Glenn M. Anderson,D,California,,,101
33,David Dreier,R,California,,,101
34,Esteban E. Torres,D,California,,,101
35,Jerry Lewis,R,California,,,101
36,"George Brown, Jr.",D,California,,,101
37,Al McCandless,R,California,,,101
38,Bob Dornan,R,California,,,101
39,William E. Dannemeyer,R,California,,,101
40,Christopher Cox,R,California,,,101
41,Bill Lowery,R,California,,,101
42,Dana Rohrabacher,R,California,,,101
43,Ron Packard,R,California,,,101
44,Jim Bates,D,California,,,101
45,Duncan Hunter,R,California,,,101
1,Patricia Schroeder,D,Colorado,,,101
2,David E. Skaggs,D,Colorado,,,101
3,Ben Nighthorse Campbell,D,Colorado,,,101
4,Hank Brown,R,Colorado,,,101
5,Joel Hefley,R,Colorado,,,101
6,Dan Schaefer,R,Colorado,,,101
1,Barbara B. Kennelly,D,Connecticut,,,101
2,Sam Gejdenson,D,Connecticut,,,101
3,Bruce A. Morrison,D,Connecticut,,,101
4,Christopher Shays,R,Connecticut,,,101
5,John G. Rowland,R,Connecticut,,,101
6,Nancy L. Johnson,R,Connecticut,,,101
At-large,Thomas R. Carper,D,Delaware,,,101
1,Earl Hutto,D,Florida,,,101
2,Bill Grant,D then R,Florida,,,101
3,Charles Edward Bennett,D,Florida,,,101
4,Craig T. James,R,Florida,,,101
5,Bill McCollum,R,Florida,,,101
6,Cliff Stearns,R,Florida,,,101
7,Sam M. Gibbons,D,Florida,,,101
8,C.W. Bill Young,R,Florida,,,101
9,Michael Bilirakis,R,Florida,,,101
10,Andy Ireland,R,Florida,,,101
11,Bill Nelson,D,Florida,,,101
12,Tom Lewis,R,Florida,,,101
13,Porter J. Goss,R,Florida,,,101
14,Harry A. Johnston,D,Florida,,,101
15,"E. Clay Shaw, Jr.",R,Florida,,,101
16,Lawrence J. Smith,D,Florida,,,101
17,William Lehman,D,Florida,,,101
18,Claude Pepper,D,Florida,1989-05-30 00:00:00,,101
18,Ileana Ros-Lehtinen,R,Florida,,1989-08-29 00:00:00,101
19,Dante B. Fascell,D,Florida,,,101
1,Lindsay Thomas,D,Georgia,,,101
2,Charles Floyd Hatcher,D,Georgia,,,101
3,Richard Ray,D,Georgia,,,101
4,Ben Jones,D,Georgia,,,101
5,John Lewis,D,Georgia,,,101
6,Newt Gingrich,R,Georgia,,,101
7,George Darden,D,Georgia,,,101
8,J. Roy Rowland,D,Georgia,,,101
9,Ed Jenkins,D,Georgia,,,101
10,"Doug Barnard, Jr.",D,Georgia,,,101
1,Patricia Saiki,R,Hawaii,,,101
2,Daniel K. Akaka,D,Hawaii,1990-05-15 00:00:00,,101
2,Patsy Mink,D,Hawaii,,1990-09-22 00:00:00,101
1,Larry Craig,R,Idaho,,,101
2,Richard H. Stallings,D,Idaho,,,101
1,Charles A. Hayes,D,Illinois,,,101
2,Gus Savage,D,Illinois,,,101
3,Marty Russo,D,Illinois,,,101
4,George E. Sangmeister,D,Illinois,,,101
5,William O. Lipinski,D,Illinois,,,101
6,Henry J. Hyde,R,Illinois,,,101
7,Cardiss Collins,D,Illinois,,,101
8,Dan Rostenkowski,D,Illinois,,,101
9,Sidney R. Yates,D,Illinois,,,101
10,John Edward Porter,R,Illinois,,,101
11,Frank Annunzio,D,Illinois,,,101
12,Philip M. Crane,R,Illinois,,,101
13,Harris W. Fawell,R,Illinois,,,101
14,Dennis Hastert,R,Illinois,,,101
15,Edward Madigan,R,Illinois,,,101
16,Lynn Morley Martin,R,Illinois,,,101
17,Lane Evans,D,Illinois,,,101
18,Robert H. Michel,R,Illinois,,,101
19,Terry L. Bruce,D,Illinois,,,101
20,Richard J. Durbin,D,Illinois,,,101
21,Jerry F. Costello,D,Illinois,,,101
22,Glenn Poshard,D,Illinois,,,101
1,Peter J. Visclosky,D,Indiana,,,101
2,Philip R. Sharp,D,Indiana,,,101
3,John Hiler,R,Indiana,,,101
3,Jill L. Long,D,Indiana,,1989-03-28 00:00:00,101
5,Jim Jontz,D,Indiana,,,101
6,Dan Burton,R,Indiana,,,101
7,John T. Myers,R,Indiana,,,101
8,Frank McCloskey,D,Indiana,,,101
9,Lee H. Hamilton,D,Indiana,,,101
10,"Andrew Jacobs, Jr.",D,Indiana,,,101
1,James A. Leach,R,Iowa,,,101
2,Tom Tauke,R,Iowa,,,101
3,Dave Nagle,D,Iowa,,,101
4,Neal Smith,D,Iowa,,,101
5,Jim Ross Lightfoot,R,Iowa,,,101
6,Fred Grandy,R,Iowa,,,101
1,Pat Roberts,R,Kansas,,,101
2,Jim Slattery,D,Kansas,,,101
3,Jan Meyers,R,Kansas,,,101
4,Dan Glickman,D,Kansas,,,101
