Class,Name,Party Code,State,Term End,Term Start,Session
1,Bradley Byrne,R,Alabama,,,101
2,Martha Roby,R,Alabama,,,101
3,Mike Rogers,R,Alabama,,,101
4,Robert Aderholt,R,Alabama,,,101
5,Mo Brooks,R,Alabama,,,101
6,Gary Palmer,R,Alabama,,,101
7,Terri Sewell,D,Alabama,,,101
A,Don Young,R,Alaska,,,101
1,Ann Kirkpatrick,D,Arizona,,,101
2,Martha McSally,R,Arizona,,,101
3,Raúl Grijalva,D,Arizona,,,101
4,Paul Gosar,R,Arizona,,,101
5,Matt Salmon,R,Arizona,,,101
6,David Schweikert,R,Arizona,,,101
7,Ruben Gallego,D,Arizona,,,101
8,Trent Franks,R,Arizona,,,101
9,Kyrsten Sinema,D,Arizona,,,101
1,Rick Crawford,R,Arkansas,,,101
2,French Hill,R,Arkansas,,,101
3,Steve Womack,R,Arkansas,,,101
4,Bruce Westerman,R,Arkansas,,,101
1,Doug LaMalfa,R,California,,,101
2,Jared Huffman,D,California,,,101
3,John Garamendi,D,California,,,101
4,Tom McClintock,R,California,,,101
5,Mike Thompson,D,California,,,101
6,Doris Matsui,D,California,,,101
7,Ami Bera,D,California,,,101
8,Paul Cook,R,California,,,101
9,Jerry McNerney,D,California,,,101
1,Jeff Denham,R,California,,,101
1,Mark DeSaulnier,D,California,,,101
1,Nancy Pelosi,D,California,,,101
1,Barbara Lee,D,California,,,101
1,Jackie Speier,D,California,,,101
1,Eric Swalwell,D,California,,,101
1,Jim Costa,D,California,,,101
1,Mike Honda,D,California,,,101
1,Anna Eshoo,D,California,,,101
1,Zoe Lofgren,D,California,,,101
2,Sam Farr,D,California,,,101
2,David Valadao,R,California,,,101
2,Devin Nunes,R,California,,,101
2,Kevin McCarthy,R,California,,,101
2,Lois Capps,D,California,,,101
2,Steve Knight,R,California,,,101
2,Julia Brownley,D,California,,,101
2,Judy Chu,D,California,,,101
2,Adam Schiff,D,California,,,101
2,Tony Cardenas,D,California,,,101
3,Brad Sherman,D,California,,,101
3,Pete Aguilar,D,California,,,101
3,Grace Napolitano,D,California,,,101
3,Ted Lieu,D,California,,,101
3,Xavier Becerra,D,California,,,101
3,Norma Torres,D,California,,,101
3,Raul Ruiz,D,California,,,101
3,Karen Bass,D,California,,,101
3,Linda Sánchez,D,California,,,101
3,Ed Royce,R,California,,,101
4,Lucille Roybal-Allard,D,California,,,101
4,Mark Takano,D,California,,,101
4,Ken Calvert,R,California,,,101
4,Maxine Waters,D,California,,,101
4,Janice Hahn,D,California,,,101
4,Mimi Walters,R,California,,,101
4,Loretta Sanchez,D,California,,,101
4,Alan Lowenthal,D,California,,,101
4,Dana Rohrabacher,R,California,,,101
4,Darrell Issa,R,California,,,101
5,Duncan D. Hunter,R,California,,,101
5,Juan Vargas,D,California,,,101
5,Scott Peters,D,California,,,101
5,Susan Davis,D,California,,,101
1,Diana DeGette,D,Colorado,,,101
2,Jared Polis,D,Colorado,,,101
3,Scott Tipton,R,Colorado,,,101
4,Ken Buck,R,Colorado,,,101
5,Doug Lamborn,R,Colorado,,,101
6,Mike Coffman,R,Colorado,,,101
7,Ed Perlmutter,D,Colorado,,,101
1,John Larson,D,Connecticut,,,101
2,Joe Courtney,D,Connecticut,,,101
3,Rosa DeLauro,D,Connecticut,,,101
4,Jim Himes,D,Connecticut,,,101
5,Elizabeth Esty,D,Connecticut,,,101
A,John Carney,D,Delaware,,,101
1,Jeff Miller,R,Florida,,,101
2,Gwen Graham,D,Florida,,,101
3,Ted Yoho,R,Florida,,,101
4,Ander Crenshaw,R,Florida,,,101
5,Corrine Brown,D,Florida,,,101
6,Ron DeSantis,R,Florida,,,101
7,John Mica,R,Florida,,,101
8,Bill Posey,R,Florida,,,101
9,Alan Grayson,D,Florida,,,101
1,Daniel Webster,R,Florida,,,101
1,Rich Nugent,R,Florida,,,101
1,Gus Bilirakis,R,Florida,,,101
1,David Jolly,R,Florida,,,101
1,Kathy Castor,D,Florida,,,101
1,Dennis Ross,R,Florida,,,101
1,Vern Buchanan,R,Florida,,,101
1,Tom Rooney,R,Florida,,,101
1,Patrick Murphy,D,Florida,,,101
1,Curt Clawson,R,Florida,,,101
2,Alcee Hastings,D,Florida,,,101
2,Ted Deutch,D,Florida,,,101
2,Lois Frankel,D,Florida,,,101
2,Debbie Wasserman Schultz,D,Florida,,,101
2,Frederica Wilson,D,Florida,,,101
2,Mario Diaz-Balart,R,Florida,,,101
2,Carlos Curbelo,R,Florida,,,101
2,Ileana Ros-Lehtinen,R,Florida,,,101
1,Buddy Carter,R,Georgia,,,101
2,Sanford Bishop,D,Georgia,,,101
3,Lynn Westmoreland,R,Georgia,,,101
4,Hank Johnson,D,Georgia,,,101
5,John Lewis,D,Georgia,,,101
6,Tom Price,R,Georgia,,,101
7,Rob Woodall,R,Georgia,,,101
8,Austin Scott,R,Georgia,,,101
9,Doug Collins,R,Georgia,,,101
1,Jody Hice,R,Georgia,,,101
1,Barry Loudermilk,R,Georgia,,,101
1,Rick Allen,R,Georgia,,,101
1,David Scott,D,Georgia,,,101
1,Tom Graves,R,Georgia,,,101
1,Mark Takai,D,Hawaii,,,101
2,Tulsi Gabbard,D,Hawaii,,,101
1,Raul Labrador,R,Idaho,,,101
2,Mike Simpson,R,Idaho,,,101
1,Bobby Rush,D,Illinois,,,101
2,Robin Kelly,D,Illinois,,,101
3,Dan Lipinski,D,Illinois,,,101
4,Luis Gutiérrez,D,Illinois,,,101
5,Mike Quigley,D,Illinois,,,101
6,Peter Roskam,R,Illinois,,,101
7,Danny K. Davis,D,Illinois,,,101
8,Tammy Duckworth,D,Illinois,,,101
9,Jan Schakowsky,D,Illinois,,,101
1,Robert Dold,R,Illinois,,,101
1,Bill Foster,D,Illinois,,,101
1,Mike Bost,R,Illinois,,,101
1,Rodney L. Davis,R,Illinois,,,101
1,Randy Hultgren,R,Illinois,,,101
1,John Shimkus,R,Illinois,,,101
1,Adam Kinzinger,R,Illinois,,,101
1,Cheri Bustos,D,Illinois,,,101
1,Aaron Schock,R,Illinois,2015-03-31 00:00:00,,101
1,Pete Visclosky,D,Indiana,,,101
2,Jackie Walorski,R,Indiana,,,101
3,Marlin Stutzman,R,Indiana,,,101
4,Todd Rokita,R,Indiana,,,101
5,Susan Brooks,R,Indiana,,,101
6,Luke Messer,R,Indiana,,,101
7,André Carson,D,Indiana,,,101
8,Larry Bucshon,R,Indiana,,,101
9,Todd Young,R,Indiana,,,101
1,Rod Blum,R,Iowa,,,101
2,David Loebsack,D,Iowa,,,101
3,David Young,R,Iowa,,,101
4,Steve King,R,Iowa,,,101
1,Tim Huelskamp,R,Kansas,,,101
2,Lynn Jenkins,R,Kansas,,,101
3,Kevin Yoder,R,Kansas,,,101
4,Mike Pompeo,R,Kansas,,,101
1,Ed Whitfield,R,Kentucky,,,101
2,Brett Guthrie,R,Kentucky,,,101
3,John Yarmuth,D,Kentucky,,,101
4,Thomas Massie,R,Kentucky,,,101
5,Hal Rogers,R,Kentucky,,,101
6,Andy Barr,R,Kentucky,,,101
1,Steve Scalise,R,Louisiana,,,101
2,Cedric Richmond,D,Louisiana,,,101
3,Charles Boustany,R,Louisiana,,,101
4,John Fleming,R,Louisiana,,,101
5,Ralph Abraham,R,Louisiana,,,101
6,Garret Graves,R,Louisiana,,,101
1,Chellie Pingree,D,Maine,,,101
2,Bruce Poliquin,R,Maine,,,101
1,Andrew Harris,R,Maryland,,,101
2,Dutch Ruppersberger,D,Maryland,,,101
3,John Sarbanes,D,Maryland,,,101
4,Donna Edwards,D,Maryland,,,101
5,Steny Hoyer,D,Maryland,,,101
6,John Delaney,D,Maryland,,,101
7,Elijah Cummings,D,Maryland,,,101
8,Chris Van Hollen,D,Maryland,,,101
1,Richard Neal,D,Massachusetts,,,101
2,Jim McGovern,D,Massachusetts,,,101
3,Niki Tsongas,D,Massachusetts,,,101
4,Joseph P. Kennedy III,D,Massachusetts,,,101
5,Katherine Clark,D,Massachusetts,,,101
6,Seth Moulton,D,Massachusetts,,,101
7,Mike Capuano,D,Massachusetts,,,101
8,Stephen Lynch,D,Massachusetts,,,101
9,Bill Keating,D,Massachusetts,,,101
1,Dan Benishek,R,Michigan,,,101
2,Bill Huizenga,R,Michigan,,,101
3,Justin Amash,R,Michigan,,,101
4,John Moolenaar,R,Michigan,,,101
5,Dan Kildee,D,Michigan,,,101
6,Fred Upton,R,Michigan,,,101
7,Tim Walberg,R,Michigan,,,101
8,Mike Bishop,R,Michigan,,,101
9,Sander Levin,D,Michigan,,,101
1,Candice Miller,R,Michigan,,,101
1,Dave Trott,R,Michigan,,,101
1,Deborah Dingell,D,Michigan,,,101
1,John Conyers,D,Michigan,,,101
1,Brenda Lawrence,D,Michigan,,,101
1,Tim Walz,D,Minnesota,,,101
2,John Kline,R,Minnesota,,,101
3,Erik Paulsen,R,Minnesota,,,101
4,Betty McCollum,D,Minnesota,,,101
5,Keith Ellison,D,Minnesota,,,101
6,Tom Emmer,R,Minnesota,,,101
7,Collin Peterson,D,Minnesota,,,101
8,Rick Nolan,D,Minnesota,,,101
1,Alan Nunnelee,R,Mississippi,2015-02-06 00:00:00,,101
2,Bennie Thompson,D,Vacant,,,101
3,Gregg Harper,R,Vacant,,,101
4,Steven Palazzo,R,Vacant,,,101
1,Lacy Clay,D,Missouri,,,101
2,Ann Wagner,R,Missouri,,,101
3,Blaine Luetkemeyer,R,Missouri,,,101
4,Vicky Hartzler,R,Missouri,,,101
5,Emanuel Cleaver,D,Missouri,,,101
6,Sam Graves,R,Missouri,,,101
7,Billy Long,R,Missouri,,,101
8,Jason T. Smith,R,Missouri,,,101
A,Ryan Zinke,R,Montana,,,101
1,Jeff Fortenberry,R,Nebraska,,,101
2,Brad Ashford,D,Nebraska,,,101
3,Adrian M. Smith,R,Nebraska,,,101
1,Dina Titus,D,Nevada,,,101
2,Mark Amodei,R,Nevada,,,101
3,Joe Heck,R,Nevada,,,101
4,Cresent Hardy,R,Nevada,,,101
1,Frank Guinta,R,New Hampshire,,,101
2,Ann McLane Kuster,D,New Hampshire,,,101
1,Donald Norcross,D,New Jersey,,,101
2,Frank LoBiondo,R,New Jersey,,,101
3,Tom MacArthur,R,New Jersey,,,101
4,Chris Smith,R,New Jersey,,,101
5,Scott Garrett,R,New Jersey,,,101
6,Frank Pallone,D,New Jersey,,,101
7,Leonard Lance,R,New Jersey,,,101
8,Albio Sires,D,New Jersey,,,101
9,Bill Pascrell,D,New Jersey,,,101
1,"Donald Payne, Jr.",D,New Jersey,,,101
1,Rodney Frelinghuysen,R,New Jersey,,,101
1,Bonnie Watson Coleman,D,New Jersey,,,101
1,Michelle Lujan Grisham,D,New Mexico,,,101
2,Steve Pearce,R,New Mexico,,,101
3,Ben Ray Lujan,D,New Mexico,,,101
1,Lee Zeldin,R,New York,,,101
2,Peter King,R,New York,,,101
3,Steve Israel,D,New York,,,101
4,Kathleen Rice,D,New York,,,101
5,Gregory Meeks,D,New York,,,101
6,Grace Meng,D,New York,,,101
7,Nydia Velazquez,D,New York,,,101
8,Hakeem Jeffries,D,New York,,,101
9,Yvette Clarke,D,New York,,,101
1,Jerrold Nadler,D,New York,,,101
1,Michael Grimm,R,New York,2015-01-05 00:00:00,,101
1,Daniel Donovan,R,New York,,2015-05-05 00:00:00,101
1,Carolyn Maloney,D,New York,,,101
1,Charles Rangel,D,New York,,,101
1,Joe Crowley,D,New York,,,101
1,Jose E. Serrano,D,New York,,,101
1,Eliot Engel,D,New York,,,101
1,Nita Lowey,D,New York,,,101
1,Sean Patrick Maloney,D,New York,,,101
1,Chris Gibson,R,New York,,,101
2,Paul Tonko,D,New York,,,101
2,Elise Stefanik,R,New York,,,101
2,Richard Hanna,R,New York,,,101
2,Thomas Reed,R,New York,,,101
2,John Katko,R,New York,,,101
2,Louise Slaughter,D,New York,,,101
2,Brian Higgins,D,New York,,,101
2,Chris Collins,R,New York,,,101
1,G.K. Butterfield,D,North Carolina,,,101
2,Renee Ellmers,R,North Carolina,,,101
3,Walter Jones Jr.,R,North Carolina,,,101
4,David Price,D,North Carolina,,,101
5,Virginia Foxx,R,North Carolina,,,101
6,Mark Walker,R,North Carolina,,,101
7,David Rouzer,R,North Carolina,,,101
8,Richard Hudson,R,North Carolina,,,101
9,Robert Pittenger,R,North Carolina,,,101
